genome,CPL00165,CPL00947,CPL00973,CPL00072,CPL00162,CPL00213,CPL00071,CPL00075,CPL00934,CPL00277,CPL00287,CPL00173,CPL00279,CPL00950,CPL00273,CPL00274,CPL00278,CPL00283,CPL00285,CPL00275,CPL00272 (Tor),CPL00113,CPL00276,CPL00070,CPL00281,CPL00286,CPL00176,CPL00280,CPL00212,CPL00215,CPL00217,CPL00214,CPL00216,CPL00211,CPL00254,CPL00161,CPL00252,CPL00253
CPL00287,0.041,84.946,84.834,92.433,92.489,92.824,93.263,94.245,93.363,97.691,100,96.369,95.952,96.251,96.257,96.26,93.574,94.789,93.854,94.02,93.665,93.732,93.743,93.647,93.078,93.737,93.546,93.6,0,0.24,0.24,0.24,0.24,0.173,0.176,0.149,0.149,0.149
CPL00173,0.089,85.708,85.581,92.519,92.822,92.808,93.29,94.96,93.667,96.418,96.369,100,96.657,96.902,96.906,96.904,92.868,94.831,94.483,95.01,94.719,94.971,94.968,95.01,94.215,94.569,94.376,94.431,0.154,0.239,0.239,0.239,0.239,0.118,0.175,0.148,0.149,0.149
CPL00279,0.089,85.342,85.26,92.086,92.702,92.515,93.031,95.047,93.799,96.28,95.952,96.657,100,97.255,97.255,97.254,92.663,94.672,94.354,95.041,94.39,94.54,94.613,94.696,94.118,94.509,94.2,94.278,0.188,0.24,0.24,0.24,0.24,0.119,0.176,0.149,0.15,0.15
CPL00950,0.098,85.786,85.684,92.711,92.615,92.832,94.125,95.023,93.938,97.189,96.251,96.902,97.255,100,99.995,99.993,92.584,94.569,94.264,94.555,94.09,94.314,94.318,94.308,93.875,94.108,93.997,94.049,0.188,0.24,0.24,0.24,0.24,0.119,0.149,0.149,0.149,0.149
CPL00273,0.098,85.788,85.685,92.708,92.615,92.83,94.124,95.024,93.94,97.188,96.257,96.906,97.255,99.995,100,99.997,92.565,94.572,94.267,94.558,94.093,94.317,94.322,94.311,93.877,94.11,93.999,94.052,0.188,0.24,0.24,0.24,0.24,0.119,0.149,0.149,0.149,0.149
CPL00274,0.098,85.787,85.684,92.707,92.615,92.829,94.127,95.023,93.938,97.187,96.26,96.904,97.254,99.993,99.997,100,92.563,94.571,94.266,94.556,94.091,94.316,94.32,94.31,93.876,94.109,93.998,94.05,0.188,0.24,0.24,0.24,0.24,0.119,0.149,0.149,0.149,0.149
CPL00278,0.108,85.85,85.716,91.408,92.266,92.746,91.301,92.499,91.773,94.06,93.574,92.868,92.663,92.584,92.565,92.563,100,94.414,94.029,94.124,94.367,94.379,94.121,94.433,94.434,94.421,94.363,94.339,0.103,0.146,0.146,0.146,0.146,0.14,0.196,0.185,0.186,0.186
CPL00283,0.076,86.818,86.67,92.494,93.393,93.015,92.119,94.417,92.725,94.82,94.789,94.831,94.672,94.569,94.572,94.571,94.414,100,96.614,96.567,96.408,96.35,96.41,96.363,95.512,95.254,95.259,95.324,0.361,0.382,0.382,0.382,0.382,0.12,0.151,0.166,0.167,0.167
CPL00285,0.067,86.004,85.896,93.983,94.699,94.487,93.293,95.343,94.18,94.15,93.854,94.483,94.354,94.264,94.267,94.266,94.029,96.614,100,98.806,98.435,98.442,98.476,98.583,98,97.534,97.726,97.789,0,0.22,0.22,0.22,0.22,0.108,0.106,0.085,0.086,0.086
CPL00275,0.067,85.935,85.821,94.209,95.049,94.728,93.406,95.733,94.502,94.333,94.02,95.01,95.041,94.555,94.558,94.556,94.124,96.567,98.806,100,98.831,98.967,99.044,99.305,97.677,97.371,97.066,97.128,0.191,0.22,0.22,0.22,0.22,0.108,0.106,0.085,0.086,0.086
CPL00272 (Tor),0.067,86.062,85.97,94.094,94.943,94.879,92.887,95.256,93.9,94.017,93.665,94.719,94.39,94.09,94.093,94.091,94.367,96.408,98.435,98.831,100,98.98,99.087,99.484,97.855,97.203,96.89,96.957,0.191,0.22,0.22,0.22,0.22,0.108,0.106,0.085,0.086,0.086
CPL00113,0.067,86.335,86.242,94.267,94.874,94.954,93.253,95.553,94.324,93.953,93.732,94.971,94.54,94.314,94.317,94.316,94.379,96.35,98.442,98.967,98.98,100,99.453,99.391,98.085,97.387,97.25,97.318,0.191,0.22,0.22,0.22,0.22,0.083,0.082,0.061,0.061,0.061
CPL00276,0.067,86.139,86.052,94.197,94.841,95.021,93.257,95.55,94.272,93.955,93.743,94.968,94.613,94.318,94.322,94.32,94.121,96.41,98.476,99.044,99.087,99.453,100,99.519,98.017,97.347,97.215,97.283,0.191,0.22,0.22,0.22,0.22,0.108,0.106,0.085,0.086,0.086
CPL00070,0.067,86.131,86.043,94.206,94.97,95.051,93.172,95.522,94.272,94.07,93.647,95.01,94.696,94.308,94.311,94.31,94.433,96.363,98.583,99.305,99.484,99.391,99.519,100,98.077,97.387,97.073,97.141,0.191,0.22,0.22,0.22,0.22,0.108,0.106,0.085,0.086,0.086
CPL00281,0.085,85.986,85.925,93.972,94.536,94.6,92.861,95.011,93.615,94.004,93.078,94.215,94.118,93.875,93.877,93.876,94.434,95.512,98,97.677,97.855,98.085,98.017,98.077,100,98.136,98.211,98.282,0.212,0.242,0.242,0.242,0.242,0.086,0.084,0.084,0.084,0.084
CPL00286,0.107,86.166,86.062,94.275,94.929,94.784,93.421,95.229,94.334,93.984,93.737,94.569,94.509,94.108,94.11,94.109,94.421,95.254,97.534,97.371,97.203,97.387,97.347,97.387,98.136,100,99.683,99.791,0,0.241,0.241,0.241,0.241,0.119,0.15,0.149,0.15,0.15
CPL00176,0.108,86.153,86.055,94.085,94.663,94.536,93.268,95.065,94.155,93.906,93.546,94.376,94.2,93.997,93.999,93.998,94.363,95.259,97.726,97.066,96.89,97.25,97.215,97.073,98.211,99.683,100,99.888,0,0.241,0.241,0.241,0.241,0.119,0.15,0.149,0.15,0.15
CPL00280,0.107,86.235,86.137,94.122,94.736,94.603,93.322,95.133,94.22,93.875,93.6,94.431,94.278,94.049,94.052,94.05,94.339,95.324,97.789,97.128,96.957,97.318,97.283,97.141,98.282,99.791,99.888,100,0,0.241,0.241,0.241,0.241,0.119,0.15,0.15,0.15,0.15
CPL00212,0,0.23,0.128,0.053,0.074,0.09,0.232,0.104,0.18,0.188,0.085,0.154,0.188,0.188,0.188,0.188,0.103,0.361,0.087,0.191,0.191,0.191,0.191,0.191,0.212,0.085,0.085,0.085,100,94.58,94.582,94.584,94.587,22.64,22.658,22.639,22.636,22.636
CPL00215,0,0.298,0.195,0.22,0.241,0.273,0.295,0.19,0.211,0.24,0.24,0.239,0.24,0.24,0.24,0.24,0.146,0.382,0.22,0.22,0.22,0.22,0.22,0.22,0.242,0.241,0.241,0.241,94.58,100,99.998,99.989,99.993,23.635,23.287,23.037,22.99,22.99
CPL00217,0,0.298,0.195,0.22,0.241,0.273,0.295,0.19,0.21,0.24,0.24,0.239,0.24,0.24,0.24,0.24,0.146,0.382,0.22,0.22,0.22,0.22,0.22,0.22,0.242,0.241,0.241,0.241,94.582,99.998,100,99.991,99.995,23.598,23.276,23.039,22.992,22.992
CPL00214,0,0.298,0.195,0.22,0.241,0.273,0.295,0.19,0.211,0.24,0.24,0.239,0.24,0.24,0.24,0.24,0.146,0.382,0.22,0.22,0.22,0.22,0.22,0.22,0.242,0.241,0.241,0.241,94.584,99.989,99.991,100,99.997,23.634,23.29,23.037,22.992,22.992
CPL00216,0,0.298,0.195,0.22,0.241,0.273,0.295,0.19,0.21,0.24,0.24,0.239,0.24,0.24,0.24,0.24,0.146,0.382,0.22,0.22,0.22,0.22,0.22,0.22,0.242,0.241,0.241,0.241,94.587,99.993,99.995,99.997,100,23.6,23.278,23.039,22.992,22.992
CPL00211,0.01,0.134,0.134,0.162,0.141,0.141,0.118,0.136,0.119,0.119,0.173,0.118,0.119,0.119,0.119,0.119,0.14,0.12,0.108,0.108,0.108,0.083,0.108,0.108,0.086,0.119,0.119,0.119,22.64,23.635,23.598,23.634,23.6,100,91.384,92.462,92.778,92.778
CPL00254,0,0.142,0.142,0.202,0.181,0.143,0.213,0.193,0.176,0.176,0.176,0.175,0.176,0.149,0.149,0.149,0.196,0.151,0.106,0.106,0.106,0.082,0.106,0.106,0.084,0.15,0.15,0.15,22.658,23.287,23.276,23.29,23.278,91.384,100,94.858,94.332,94.332
CPL00161,0.015,0.142,0.142,0.154,0.154,0.116,0.201,0.166,0.149,0.149,0.149,0.148,0.149,0.149,0.149,0.149,0.185,0.166,0.085,0.085,0.085,0.061,0.085,0.085,0.084,0.149,0.149,0.15,22.639,23.037,23.039,23.037,23.039,92.462,94.858,100,97.422,97.422
CPL00252,0.036,0.142,0.142,0.117,0.184,0.184,0.232,0.234,0.15,0.149,0.149,0.149,0.15,0.149,0.149,0.149,0.186,0.167,0.086,0.086,0.086,0.061,0.086,0.086,0.084,0.15,0.15,0.15,22.636,22.99,22.992,22.992,22.992,92.778,94.332,97.422,100,100
CPL00253,0.036,0.142,0.142,0.117,0.184,0.184,0.232,0.234,0.15,0.149,0.149,0.149,0.15,0.149,0.149,0.149,0.186,0.167,0.086,0.086,0.086,0.061,0.086,0.086,0.084,0.15,0.15,0.15,22.636,22.99,22.992,22.992,22.992,92.778,94.332,97.422,100,100
